ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Avg Air Temp (F),Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),FIRE_SIZE
0.06,0.0,289.0,4.6,37.6,61.0,3.4,81.1,53.6,1.0
0.05,0.0,267.0,4.7,34.1,70.0,1.6,39.2,46.2,1.0
0.06,0.01,269.0,6.0,42.9,63.0,2.0,47.5,49.2,0.1
0.07,0.0,268.0,6.1,45.6,59.0,4.1,98.6,52.5,0.12
0.06,0.0,289.0,4.6,37.6,61.0,3.4,81.1,53.6,1.0
0.06,0.0,289.0,4.6,37.6,61.0,3.4,81.1,53.6,0.1
0.05,0.0,260.0,2.3,33.9,36.0,2.2,52.5,43.4,0.1
0.06,0.0,288.0,5.2,41.6,58.0,4.4,106.2,56.4,0.01
0.07,0.0,303.0,5.6,44.5,56.0,3.1,73.7,53.2,0.01
0.05,0.0,286.0,1.7,18.1,50.0,3.2,77.0,34.7,0.1
0.18377807907948257,0.0,317.0,1.4,32.5,22.0,2.7,63.6,43.0,0.1
0.05,0.0,297.0,6.0,37.7,78.0,2.9,68.8,41.7,0.1
0.06,0.0,286.0,4.9,39.2,55.74606916779595,2.1,49.3,53.6,0.01
0.06,0.0,286.0,4.9,39.2,55.74606916779595,2.1,49.3,53.6,0.01
0.06,0.0,283.0,5.5,44.8,55.0,1.0,24.9,49.9,0.5
0.03,0.04,148.0,1.4,14.6,47.0,3.6,87.0,33.0,0.1
0.06,0.01,269.0,6.0,42.9,63.0,2.0,47.5,49.2,0.5
0.05,0.0,297.0,6.0,37.7,78.0,2.9,68.8,41.7,0.01
0.06,0.0,286.0,4.9,39.2,55.74606916779595,2.1,49.3,53.6,0.1
0.05,0.0,286.0,1.7,18.1,50.0,3.2,77.0,34.7,0.1
0.06,0.0,287.0,4.2,39.9,50.0,2.5,60.2,45.0,0.1
0.07,0.0,268.0,6.1,45.6,59.0,4.1,98.6,52.5,0.02
0.06,0.0,224.0,5.6,45.7,54.0,2.3,56.3,49.4,0.1
0.05,0.0,286.0,1.7,18.1,50.0,3.2,77.0,34.7,0.1
0.06,0.0,287.0,4.2,39.9,50.0,2.5,60.2,45.0,0.01
0.08,0.0,277.0,4.0,42.6,43.0,4.8,115.1,66.69276448265181,0.01
0.08,0.0,277.0,4.0,42.6,43.0,4.8,115.1,66.69276448265181,0.02
0.03,0.04,148.0,1.4,14.6,47.0,3.6,87.0,33.0,0.1
0.07,0.0,303.0,5.6,44.5,56.0,3.1,73.7,53.2,0.1
0.06,0.0,272.0,8.7,51.9,66.0,1.0,24.2,50.1,0.01
0.06,0.0,266.0,8.4,47.4,75.0,2.0,47.4,50.2,1.0
0.08,0.0,302.0,5.6,55.2,37.0,1.8,43.1,55.6,0.01
0.11,0.0,282.0,7.3,61.6,39.0,5.2,124.3,66.69276448265181,0.01
0.09,0.0,276.0,7.3,54.2,51.0,2.7,63.8,49.3,0.1
0.09,0.0,261.0,7.5,60.6,42.0,3.0,71.9,56.0,0.1
0.03,0.59,116.0,12.1,54.3,84.0,4.3,102.2,54.1,23.0
0.08,0.0,309.0,5.2,39.4,64.0,6.7,159.7,38.5,0.1
0.06,0.0,310.0,3.6,31.5,60.0,5.2,124.6,33.8,0.1
0.06,0.0,231.0,9.6,56.4,62.0,2.1,51.2,56.1,0.12
0.1,0.0,324.0,6.6,54.5,45.0,4.3,103.3,57.6,0.2
0.1,0.0,324.0,6.2,53.9,44.0,3.3,79.9,51.7,0.1
0.08,0.0,314.0,8.1,49.2,68.0,3.2,76.1,66.69276448265181,0.12
0.13,0.0,312.0,6.6,63.2,33.0,7.5,179.7,56.7,1.0
0.04,0.0,192.0,9.2,48.1,80.0,2.8,66.5,51.7,0.05
0.07,0.0,260.0,8.9,49.8,73.0,2.6,61.4,53.8,0.1
0.08,0.0,269.0,6.8,56.9,43.0,2.1,51.4,56.1,0.8
0.13,0.0,237.0,4.7,67.3,21.0,5.5,132.7,60.2,0.1
0.1,0.0,278.0,6.6,62.7,34.0,2.1,49.8,53.5,0.25
0.03,0.01,175.0,9.3,45.0,92.0,2.5,60.5,50.8,4.0
0.11,0.02,193.0,8.0,64.9,38.0,5.1,121.7,66.69276448265181,0.01
0.02,0.0,85.0,11.0,52.3,82.0,4.0,97.0,51.6,1.0
0.02,0.0,85.0,11.0,52.3,82.0,4.0,97.0,51.6,1.0
0.08,0.0,312.0,12.1,56.4,78.0,2.3,55.7,53.3,0.1
0.07,0.0,229.0,11.3,61.0,62.0,2.0,48.9,55.7,0.1
0.08,0.0,271.0,11.5,58.7,68.0,3.4,82.5,58.4,2.0
0.07,0.0,211.0,11.0,63.8,54.0,1.9,46.6,56.3,0.01
0.09,0.0,293.0,11.2,56.8,71.0,3.9,92.8,66.69276448265181,0.12
0.09,0.0,298.0,12.5,58.0,76.0,3.2,76.7,57.2,0.25
0.05,0.06,185.0,10.2,52.4,76.0,3.1,74.5,56.3,0.01
0.05,0.0,167.0,12.7,60.2,71.0,5.0,119.3,59.5,1.0
0.07,0.0,291.0,13.0,58.5,78.0,1.7,39.7,57.0,0.25
0.07,0.0,285.0,9.6,51.2,75.0,3.0,71.2,56.8,2.0
0.11,0.0,337.0,7.1,57.7,44.0,4.1,97.9,54.9,4.0
0.09,0.0,364.0,8.1,52.6,60.0,3.1,75.2,56.8,1.0
0.08,0.0,305.0,12.2,53.9,86.0,2.6,62.3,57.9,0.5
0.1,0.0,352.0,4.9,43.6,50.0,2.8,66.4,39.5,0.1
0.1,0.37,131.0,8.4,53.4,60.0,2.7,64.8,59.3,0.5
0.11,0.0,373.0,8.7,60.4,48.0,3.0,72.5,55.7,0.1
0.12,0.0,539.0,8.3,67.3,36.0,4.4,106.5,59.5,1.0
0.11,0.0,381.0,9.1,60.7,50.0,2.7,65.7,56.0,0.25
0.1,0.0,389.0,7.4,55.9,49.0,3.3,78.5,57.3,0.1
0.1,0.0,389.0,7.4,55.9,49.0,3.3,78.5,57.3,0.1
0.11,0.0,365.0,8.9,57.6,55.0,2.1,51.2,54.7,0.1
0.09,0.0,329.0,12.0,58.0,73.0,3.3,78.5,57.4,0.1
0.11,0.04,368.0,10.2,61.3,55.0,1.7,40.9,57.8,0.2
0.11,0.0,360.0,8.3,62.3,43.0,2.8,67.6,58.7,0.1
0.1,0.0,300.0,11.2,61.9,59.0,3.0,70.8,60.6,0.21
0.12,0.0,396.0,8.8,63.9,43.0,2.6,62.9,56.6,0.12
0.12,0.0,392.0,9.7,60.0,55.0,3.2,77.6,60.2,0.01
0.1,0.0,360.0,11.6,60.0,66.0,2.1,49.7,56.7,0.1
0.09,0.0,343.0,5.6,46.3,52.0,4.4,106.6,39.9,0.1
0.11,0.0,374.0,14.9,65.4,70.0,3.7,89.8,61.9,0.1
0.07,0.18,261.0,16.1,62.0,55.74606916779595,4.2,101.7,66.69276448265181,0.1
0.12,0.0,363.0,13.1,62.3,68.0,3.6,87.1,56.4,0.25
0.06,0.03,249.0,16.7,62.4,87.0,2.3,54.3,61.6,0.09
0.12,0.0,363.0,13.1,62.3,68.0,3.6,87.1,56.4,0.25
0.12,0.0,381.0,14.2,62.8,73.0,4.5,106.9,60.8,0.4
0.1,0.0,359.0,13.9,62.3,72.0,2.5,59.8,59.1,0.25
0.12,0.0,363.0,13.1,62.3,68.0,3.6,87.1,56.4,0.1
0.12,0.0,380.0,11.3,59.8,65.0,3.5,84.7,57.1,0.1
0.09,0.0,299.0,13.2,61.1,72.0,3.1,73.6,61.8,0.1
0.15,0.0,394.0,10.2,69.7,41.0,4.0,96.7,61.7,1.0
0.14,0.0,345.0,5.5,60.4,31.0,4.2,102.0,56.1,0.1
0.16,0.0,389.0,9.8,65.5,46.0,7.2,172.1,58.5,0.75
0.16,0.0,365.0,4.3,66.7,19.0,4.8,115.1,59.6,0.1
0.13,0.0,362.0,6.9,66.6,31.0,2.3,55.9,61.4,0.01
0.14,0.0,407.0,6.7,57.9,41.0,4.2,100.2,56.5,1.0
0.14,0.0,421.0,4.4,58.4,27.0,4.3,103.8,58.1,5.0
0.2,0.0,418.0,5.0,70.9,19.0,7.1,169.6,60.6,0.1
0.23,0.0,409.0,4.7,68.8,55.74606916779595,9.1,218.6,56.9,0.02
0.2,0.0,416.0,2.7,70.8,11.0,9.7,232.2,60.6,0.01
0.14,0.0,417.0,5.3,68.0,23.0,2.3,56.2,59.2,0.12
0.17,0.0,410.0,5.5,70.3,22.0,5.1,123.5,60.6,0.5
0.15,0.0,366.0,8.1,64.5,39.0,5.7,136.4,66.69276448265181,1.0
0.17,0.0,410.0,5.5,70.3,22.0,5.1,123.5,60.6,0.75
0.15,0.0,366.0,8.1,64.5,39.0,5.7,136.4,66.69276448265181,0.5
0.15,0.0,414.0,7.3,65.5,34.0,3.9,93.2,61.5,1.0
0.15,0.0,414.0,7.3,65.5,34.0,3.9,93.2,61.5,1.0
0.15,0.0,438.0,5.6,66.4,25.0,3.3,79.1,57.4,0.01
0.15,0.0,438.0,5.6,66.4,25.0,3.3,79.1,57.4,0.01
0.12,0.0,361.0,10.5,59.0,61.0,2.8,68.0,57.8,1.0
0.13,0.0,358.0,9.6,63.1,49.0,5.0,119.9,66.69276448265181,0.11
0.14,0.0,402.0,7.1,60.0,40.0,3.0,72.4,55.9,0.01
0.12,0.0,401.0,9.2,62.3,48.0,2.2,52.9,56.9,0.01
0.14,0.0,437.0,6.9,63.6,34.0,3.1,75.2,57.4,0.01
0.14,0.0,437.0,6.9,63.6,34.0,3.1,75.2,57.4,0.01
0.14,0.0,437.0,6.9,63.6,34.0,3.1,75.2,57.4,100.0
0.14,0.0,402.0,7.1,60.0,40.0,3.0,72.4,55.9,0.01
0.14,0.0,413.0,7.9,56.7,50.0,4.0,96.6,59.4,0.2
0.14,0.0,413.0,7.9,56.7,50.0,4.0,96.6,59.4,1.0
0.02,0.0,153.0,11.4,47.4,100.0,3.1,75.3,58.1,4.0
0.14,0.0,408.0,9.9,56.9,63.0,4.4,106.3,58.4,0.01
0.12,0.0,433.0,8.4,61.4,45.0,3.9,92.9,62.4,1.0
0.14,0.0,395.0,8.4,58.3,50.0,3.6,86.3,56.1,0.3
0.14,0.0,395.0,8.4,58.3,50.0,3.6,86.3,56.1,2.0
0.11,0.0,413.0,16.2,61.8,86.0,2.8,67.8,62.5,0.25
0.11,0.0,380.0,11.4,56.7,73.0,3.6,85.3,57.5,6.0
0.12,0.0,413.0,5.9,44.2,60.0,3.4,80.9,40.4,0.1
0.04,0.0,186.0,12.3,53.3,89.0,3.6,85.4,66.69276448265181,0.21
0.11,0.0,371.0,10.6,57.3,66.0,2.7,65.3,56.4,0.1
0.15,0.0,391.0,9.1,63.1,46.0,4.5,107.5,62.0,0.1
0.1,0.0,314.0,12.7,60.3,71.0,2.8,67.9,62.6,0.5
0.11,0.0,397.0,13.5,57.5,83.0,2.5,59.6,59.8,0.5
0.11,0.0,381.0,10.6,61.7,56.0,1.0,24.0,57.3,0.1
0.13,0.0,387.0,9.4,59.2,54.0,2.8,68.0,56.7,0.1
0.13,0.0,387.0,9.4,59.2,54.0,2.8,68.0,56.7,0.1
0.12,0.0,416.0,5.9,45.9,56.0,3.2,75.6,40.4,0.3
0.12,0.0,416.0,5.9,45.9,56.0,3.2,75.6,40.4,0.2
0.14,0.0,432.0,9.2,60.9,51.0,3.4,81.2,58.9,0.02
0.07,0.0,274.0,12.0,53.3,87.0,2.4,57.1,55.4,0.2
0.13,0.0,393.0,11.6,64.7,55.0,2.6,62.4,62.9,0.01
0.06,0.0,245.0,13.2,55.1,89.0,3.0,72.1,61.7,0.03
