ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Avg Air Temp (F),Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),FIRE_SIZE
0.06,0.0,289.0,4.6,37.6,61.0,3.4,81.1,53.6,1.0
0.05,0.0,267.0,4.7,34.1,70.0,1.6,39.2,46.2,1.0
0.06,0.01,269.0,6.0,42.9,63.0,2.0,47.5,49.2,0.1
0.07,0.0,268.0,6.1,45.6,59.0,4.1,98.6,52.5,0.12
0.06,0.0,289.0,4.6,37.6,61.0,3.4,81.1,53.6,1.0
0.06,0.0,289.0,4.6,37.6,61.0,3.4,81.1,53.6,0.1
0.05,0.0,260.0,2.3,33.9,36.0,2.2,52.5,43.4,0.1
0.06,0.0,288.0,5.2,41.6,58.0,4.4,106.2,56.4,0.01
0.07,0.0,303.0,5.6,44.5,56.0,3.1,73.7,53.2,0.01
0.05,0.0,286.0,1.7,18.1,50.0,3.2,77.0,34.7,0.1
0.1859794472828611,0.0,317.0,1.4,32.5,22.0,2.7,63.6,43.0,0.1
0.05,0.0,297.0,6.0,37.7,78.0,2.9,68.8,41.7,0.1
0.06,0.0,286.0,4.9,39.2,54.759777686290654,2.1,49.3,53.6,0.01
0.06,0.0,286.0,4.9,39.2,54.759777686290654,2.1,49.3,53.6,0.01
0.06,0.0,283.0,5.5,44.8,55.0,1.0,24.9,49.9,0.5
0.03,0.04,148.0,1.4,14.6,47.0,3.6,87.0,33.0,0.1
0.06,0.01,269.0,6.0,42.9,63.0,2.0,47.5,49.2,0.5
0.06,0.0,298.0,7.0,40.9,80.0,2.8,67.4,42.2,0.01
0.07,0.0,293.0,7.2,45.1,70.0,1.9,45.7,53.3,0.1
0.07,0.0,290.0,3.9,36.2,53.0,3.6,85.4,33.9,0.1
0.12,0.0,299.0,4.5,60.9,24.0,5.0,119.4,48.2,0.1
0.07,0.02,258.0,11.5,53.8,82.0,3.3,79.0,56.8,0.02
0.07,0.0,242.0,8.6,59.1,50.0,2.1,49.9,55.7,0.1
0.07,0.0,308.0,5.2,39.1,64.0,2.8,67.1,35.9,0.1
0.06,0.0,241.0,9.7,55.1,65.0,2.8,67.5,53.8,0.01
0.08,0.0,314.0,8.1,49.2,68.0,3.2,76.1,67.23368450150501,0.01
0.12,0.0,327.0,6.3,58.9,37.0,4.9,118.3,67.23368450150501,0.02
0.02,0.04,109.0,5.4,37.9,70.0,3.7,89.8,35.3,0.1
0.08,0.0,299.0,11.3,55.8,75.0,2.5,60.2,57.8,0.1
0.09,0.0,340.0,11.8,56.8,75.0,1.0,24.0,57.2,0.01
0.1,0.37,131.0,8.4,53.4,60.0,2.7,64.8,59.3,1.0
0.08,0.0,331.0,11.8,52.8,87.0,2.0,47.3,62.2,0.01
0.07,0.0,287.0,11.7,55.0,79.0,4.2,99.9,67.23368450150501,0.01
0.12,0.0,379.0,8.4,58.0,51.0,3.2,75.9,55.5,0.1
0.03,0.06,106.0,10.1,55.7,67.0,2.0,47.5,57.8,0.1
0.17,0.0,371.0,6.8,61.3,37.0,7.2,172.0,56.8,23.0
0.11,0.0,397.0,4.3,42.2,47.0,3.7,89.1,40.3,0.1
0.11,0.0,414.0,2.5,38.0,32.0,4.3,104.0,38.6,0.1
0.13,0.02,369.0,6.6,66.3,30.0,2.3,55.9,61.6,0.12
0.15,0.0,414.0,7.3,65.5,34.0,3.9,93.2,61.5,0.2
0.14,0.0,395.0,8.4,58.3,50.0,3.6,86.3,56.1,0.1
0.08,0.0,311.0,12.9,55.4,86.0,3.7,87.9,67.23368450150501,0.12
0.08,0.0,266.0,12.3,61.0,67.0,2.4,58.1,62.9,1.0
0.05,0.0,207.0,12.3,53.0,89.0,2.4,56.9,56.7,0.05
0.04,0.0,167.0,11.9,52.0,90.0,3.6,87.3,59.0,0.1
0.03,0.06,158.0,12.4,55.6,82.0,2.1,50.6,62.1,0.8
0.13,0.0,456.0,6.6,54.9,45.0,4.1,97.8,61.4,0.1
0.12,0.0,436.0,8.3,52.8,61.0,1.9,45.3,55.4,0.25
0.11,0.0,432.0,9.2,50.6,74.0,2.8,67.5,54.4,4.0
0.12,0.0,440.0,8.8,49.4,73.0,4.2,100.5,67.23368450150501,0.01
0.14,0.0,428.0,7.1,61.5,38.0,3.3,79.4,56.4,1.0
0.14,0.0,428.0,7.1,61.5,38.0,3.3,79.4,56.4,1.0
0.13,0.0,422.0,8.7,54.0,61.0,3.6,86.9,55.4,0.1
0.03,0.01,157.0,12.4,54.6,85.0,1.9,45.9,55.6,0.1
0.18,0.0,438.0,9.6,64.2,47.0,6.9,164.9,61.3,2.0
0.08,0.09,301.0,10.9,54.5,75.0,2.6,61.3,56.0,0.01
0.08,0.02,317.0,10.0,50.3,81.0,3.6,86.0,67.23368450150501,0.12
0.1,0.0,363.0,10.5,52.0,79.0,4.4,105.3,56.9,0.25
0.01,0.47,75.0,8.7,44.8,86.0,3.6,86.3,55.1,0.01
0.02,0.0,109.0,10.8,53.0,79.0,4.3,102.2,61.3,1.0
0.06,0.21,276.0,10.0,49.9,82.0,1.9,46.2,55.1,0.25
0.06,0.22,270.0,7.9,43.5,82.0,3.7,89.3,54.5,2.0
0.11,0.0,421.0,8.0,49.1,67.0,3.6,86.1,54.3,4.0
0.12,0.0,488.0,6.8,45.0,66.0,3.5,83.4,55.0,1.0
0.17,0.0,445.0,5.7,59.0,33.0,4.0,96.8,58.5,0.5
0.13,0.0,487.0,3.1,35.9,43.0,4.3,102.2,37.4,0.1
0.14,0.1,470.0,7.4,51.7,57.0,3.2,75.8,57.6,0.5
0.16,0.0,527.0,3.9,58.4,24.0,3.2,76.9,54.4,0.1
0.23,0.0,517.0,4.8,66.0,22.0,7.0,168.9,59.8,1.0
0.22,0.0,533.0,3.4,65.6,16.0,5.7,136.4,54.0,0.25
0.15,0.0,519.0,3.9,54.8,26.0,3.7,89.2,57.0,0.1
0.15,0.0,519.0,3.9,54.8,26.0,3.7,89.2,57.0,0.1
0.2,0.0,510.0,4.7,58.5,28.0,6.2,148.1,54.4,0.1
0.17,0.0,478.0,8.7,58.2,53.0,6.4,154.3,58.3,0.1
0.22,0.0,499.0,3.7,71.3,14.0,4.7,113.8,59.1,0.2
0.2,0.0,487.0,5.5,69.6,22.0,4.2,100.0,60.2,0.1
0.17,0.0,413.0,5.2,66.6,23.0,3.6,85.5,59.7,0.21
0.21,0.0,530.0,4.1,66.3,19.0,4.8,114.4,54.5,0.12
0.16,0.0,508.0,10.4,60.8,57.0,4.2,101.3,60.6,0.01
0.15,0.0,503.0,9.0,62.1,47.0,2.5,60.2,57.2,0.1
0.14,0.0,518.0,2.8,38.5,35.0,3.3,80.2,38.3,0.1
0.18,0.0,475.0,9.1,68.4,38.0,5.1,123.1,61.9,0.1
0.12,0.0,394.0,12.0,57.9,73.0,3.7,88.6,67.23368450150501,0.1
0.18,0.0,492.0,7.6,62.8,39.0,3.1,74.5,56.0,0.25
0.1,0.02,356.0,14.5,59.0,85.0,2.3,56.3,63.5,0.09
0.18,0.0,492.0,7.6,62.8,39.0,3.1,74.5,56.0,0.25
0.15,0.0,494.0,12.4,61.8,66.0,3.1,74.9,61.7,0.4
0.16,0.0,445.0,6.6,63.4,33.0,3.3,78.4,61.4,0.25
0.18,0.0,492.0,7.6,62.8,39.0,3.1,74.5,56.0,0.1
0.1,0.0,237.0,8.0,63.4,40.0,3.7,88.3,56.7,0.1
0.06,0.0,134.0,10.8,64.8,51.0,2.7,64.1,62.3,0.1
0.14,0.0,299.0,8.8,69.6,36.0,4.0,96.2,63.2,1.0
0.21,0.0,523.0,6.9,67.0,31.0,4.7,114.0,57.6,0.1
0.19,0.0,460.0,11.2,71.5,43.0,4.9,117.4,61.5,0.75
0.23,0.0,519.0,5.9,73.9,21.0,5.7,138.0,63.9,0.1
0.18,0.0,444.0,9.0,72.1,33.0,2.4,58.1,66.2,0.01
0.18,0.0,493.0,9.1,66.9,41.0,3.8,92.3,58.2,1.0
0.19,0.0,520.0,6.2,66.3,28.0,4.0,96.8,62.8,5.0
0.22,0.0,519.0,7.6,66.41848091800637,54.759777686290654,6.2,149.1,63.2,0.1
0.16,0.0,508.0,7.5,73.2,27.0,1.0,24.0,58.5,0.02
0.25,0.0,506.0,7.1,75.1,24.0,7.5,180.5,61.8,0.01
0.16,0.0,377.0,7.5,71.5,28.0,2.2,51.9,65.4,0.12
0.21,0.0,480.0,7.2,66.41848091800637,54.759777686290654,5.1,123.5,63.9,0.5
0.17,0.0,413.0,9.5,67.6,41.0,4.0,96.9,67.23368450150501,1.0
0.21,0.0,480.0,7.2,66.41848091800637,54.759777686290654,5.1,123.5,63.9,0.75
0.17,0.0,413.0,9.5,67.6,41.0,4.0,96.9,67.23368450150501,0.5
0.22,0.0,526.0,8.6,70.4,34.0,5.1,122.7,65.3,1.0
0.22,0.0,526.0,8.6,70.4,34.0,5.1,122.7,65.3,1.0
0.22,0.0,516.0,6.4,72.3,24.0,3.8,90.0,63.2,0.01
0.22,0.0,516.0,6.4,72.3,24.0,3.8,90.0,63.2,0.01
0.14,0.0,400.0,11.2,59.3,65.0,3.3,80.2,60.8,1.0
0.16,0.0,446.0,10.7,62.0,56.0,3.5,83.6,67.23368450150501,0.11
0.19,0.0,439.0,7.7,64.6,37.0,4.9,116.9,59.4,0.01
0.16,0.0,489.0,10.6,67.3,46.0,2.3,56.2,63.0,0.01
0.19,0.0,424.0,7.5,68.0,32.0,3.7,89.3,62.3,0.01
0.19,0.0,424.0,7.5,68.0,32.0,3.7,89.3,62.3,0.01
0.19,0.0,424.0,7.5,68.0,32.0,3.7,89.3,62.3,100.0
0.19,0.0,439.0,7.7,64.6,37.0,4.9,116.9,59.4,0.01
0.15,0.0,643.0,11.4,60.6,63.0,5.8,138.2,64.6,0.2
0.15,0.0,643.0,11.4,60.6,63.0,5.8,138.2,64.6,1.0
0.15,0.0,494.0,11.5,55.6,76.0,4.6,110.7,60.5,4.0
0.15,0.0,496.0,15.0,64.3,73.0,7.9,189.0,60.8,0.01
0.12,0.0,432.0,15.1,59.8,86.0,2.8,67.3,63.2,1.0
0.15,0.0,96.0,11.9,62.3,62.0,7.0,167.2,60.3,0.3
0.15,0.0,96.0,11.9,62.3,62.0,7.0,167.2,60.3,2.0
0.14,0.0,336.0,13.0,71.5,49.0,4.1,97.3,67.7,0.25
0.18,0.0,500.0,12.1,64.3,59.0,4.2,101.0,61.7,6.0
0.16,0.0,513.0,6.6,47.7,58.0,4.4,104.7,44.8,0.1
0.17,0.0,530.0,11.1,58.0,67.0,3.7,89.4,67.23368450150501,0.21
0.17,0.0,504.0,12.8,64.2,62.0,4.3,102.7,60.6,0.1
0.2,0.0,539.0,13.5,67.5,59.0,5.2,123.7,65.9,0.1
0.16,0.0,449.0,13.3,66.2,60.0,3.1,75.4,68.2,0.5
0.15,0.0,501.0,12.3,61.0,67.0,2.5,60.2,62.4,0.5
0.2,0.0,535.0,11.2,65.9,51.0,5.3,127.2,60.3,0.1
0.19,0.0,555.0,9.5,64.8,45.0,3.6,87.0,60.9,0.1
0.19,0.0,555.0,9.5,64.8,45.0,3.6,87.0,60.9,0.1
0.17,0.0,545.0,5.4,47.6,48.0,3.5,84.5,44.1,0.3
0.17,0.0,545.0,5.4,47.6,48.0,3.5,84.5,44.1,0.2
0.19,0.0,572.0,10.8,63.3,55.0,4.0,95.5,63.2,0.02
0.15,0.02,425.0,7.4,53.5,53.0,2.3,55.5,57.2,0.2
0.21,0.0,565.0,11.3,73.7,40.0,3.8,90.8,68.5,0.01
0.15,0.0,457.0,12.0,57.4,75.0,4.1,98.7,66.1,0.03
